Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
64,1636858943247,14/11/2021 03:02:23,1636858943040,11,14/11/2021 14:02:23,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,28,2,Screen 2,fixation,fixation,699.7699999999895,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Jeffrey,right,or,or,female,male,science,humanities,44,congruent,congruent
65,1636858943972,14/11/2021 03:02:23,1636858943818,11,14/11/2021 14:02:23,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,29,1,Screen 1,Zone9,response_keyboard,742,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Literature,left,or,or,female,male,science,humanities,57,congruent,congruent
66,1636858944647,14/11/2021 03:02:24,1636858944507,11,14/11/2021 14:02:24,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,29,2,Screen 2,fixation,fixation,700.0540000000037,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Literature,left,or,or,female,male,science,humanities,57,congruent,congruent
67,1636858945252,14/11/2021 03:02:25,1636858945100,11,14/11/2021 14:02:25,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,30,1,Screen 1,Zone9,response_keyboard,558.0999999046326,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,John,right,or,or,female,male,science,humanities,41,congruent,congruent
68,1636858945941,14/11/2021 03:02:25,1636858945790,11,14/11/2021 14:02:25,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,30,2,Screen 2,fixation,fixation,699.939000000013,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,John,right,or,or,female,male,science,humanities,41,congruent,congruent
69,1636858946834,14/11/2021 03:02:26,1636858946683,11,14/11/2021 14:02:26,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,31,1,Screen 1,Zone9,response_keyboard,859.2999999523163,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Astronomy,right,or,or,female,male,science,humanities,51,congruent,congruent
70,1636858947524,14/11/2021 03:02:27,1636858947373,11,14/11/2021 14:02:27,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,31,2,Screen 2,fixation,fixation,699.8969999999972,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Astronomy,right,or,or,female,male,science,humanities,51,congruent,congruent
71,1636858948207,14/11/2021 03:02:28,1636858948058,11,14/11/2021 14:02:28,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,32,1,Screen 1,Zone9,response_keyboard,650.4000000953674,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Engineering,right,or,or,female,male,science,humanities,52,congruent,congruent
72,1636858948913,14/11/2021 03:02:28,1636858948756,11,14/11/2021 14:02:28,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,32,2,Screen 2,fixation,fixation,699.9290000000037,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Engineering,right,or,or,female,male,science,humanities,52,congruent,congruent
73,1636858949430,14/11/2021 03:02:29,1636858949286,11,14/11/2021 14:02:29,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,33,1,Screen 1,Zone9,response_keyboard,496.5,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Anna,left,or,or,female,male,science,humanities,36,congruent,congruent
74,1636858950111,14/11/2021 03:02:30,1636858949973,11,14/11/2021 14:02:29,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,33,2,Screen 2,fixation,fixation,699.7380000000121,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Anna,left,or,or,female,male,science,humanities,36,congruent,congruent
75,1636858951173,14/11/2021 03:02:31,1636858951025,11,14/11/2021 14:02:31,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,34,1,Screen 1,Zone9,response_keyboard,1017.2999999523163,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Chemistry,right,or,or,female,male,science,humanities,48,congruent,congruent
76,1636858951877,14/11/2021 03:02:31,1636858951722,11,14/11/2021 14:02:31,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,34,2,Screen 2,fixation,fixation,699.710000000021,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Chemistry,right,or,or,female,male,science,humanities,48,congruent,congruent
77,1636858952465,14/11/2021 03:02:32,1636858952313,11,14/11/2021 14:02:32,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,35,1,Screen 1,Zone9,response_keyboard,559.7000000476837,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Emily,left,or,or,female,male,science,humanities,37,congruent,congruent
78,1636858953138,14/11/2021 03:02:33,1636858953005,11,14/11/2021 14:02:33,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,35,2,Screen 2,fixation,fixation,700.002999999997,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Emily,left,or,or,female,male,science,humanities,37,congruent,congruent
79,1636858953731,14/11/2021 03:02:33,1636858953590,11,14/11/2021 14:02:33,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,36,1,Screen 1,Zone9,response_keyboard,546,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Daniel,right,or,or,female,male,science,humanities,42,congruent,congruent
80,1636858954440,14/11/2021 03:02:34,1636858954289,11,14/11/2021 14:02:34,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,36,2,Screen 2,fixation,fixation,699.7820000000065,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Daniel,right,or,or,female,male,science,humanities,42,congruent,congruent
81,1636858955238,14/11/2021 03:02:35,1636858955105,11,14/11/2021 14:02:35,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,37,1,Screen 1,Zone9,response_keyboard,773.7000000476837,left,1,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Biology,right,or,or,female,male,science,humanities,46,congruent,congruent
82,1636858955962,14/11/2021 03:02:35,1636858955806,11,14/11/2021 14:02:35,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,37,1,Screen 1,Zone9,response_keyboard,1484.2999999523163,right,2,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Biology,right,or,or,female,male,science,humanities,46,congruent,congruent
83,1636858956650,14/11/2021 03:02:36,1636858956505,11,14/11/2021 14:02:36,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,37,2,Screen 2,fixation,fixation,699.8940000000002,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Biology,right,or,or,female,male,science,humanities,46,congruent,congruent
84,1636858957385,14/11/2021 03:02:37,1636858957233,11,14/11/2021 14:02:37,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,38,1,Screen 1,Zone9,response_keyboard,692.1000001430511,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Rebecca,left,or,or,female,male,science,humanities,38,congruent,congruent
85,1636858958073,14/11/2021 03:02:38,1636858957921,11,14/11/2021 14:02:37,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,38,2,Screen 2,fixation,fixation,699.8539999999921,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Rebecca,left,or,or,female,male,science,humanities,38,congruent,congruent
86,1636858958854,14/11/2021 03:02:38,1636858958707,11,14/11/2021 14:02:38,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,39,1,Screen 1,Zone9,response_keyboard,752.2999999523163,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Paul,right,or,or,female,male,science,humanities,43,congruent,congruent
87,1636858959557,14/11/2021 03:02:39,1636858959404,11,14/11/2021 14:02:39,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,39,2,Screen 2,fixation,fixation,699.8999999999942,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Paul,right,or,or,female,male,science,humanities,43,congruent,congruent
88,1636858960486,14/11/2021 03:02:40,1636858960323,11,14/11/2021 14:02:40,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,40,1,Screen 1,Zone9,response_keyboard,884.9000000953674,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Physics,right,or,or,female,male,science,humanities,47,congruent,congruent
89,1636858961173,14/11/2021 03:02:41,1636858961021,11,14/11/2021 14:02:41,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,40,2,Screen 2,fixation,fixation,699.8580000000075,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Physics,right,or,or,female,male,science,humanities,47,congruent,congruent
90,1636858961814,14/11/2021 03:02:41,1636858961665,11,14/11/2021 14:02:41,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,41,1,Screen 1,Zone9,response_keyboard,607.7999999523163,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Michelle,left,or,or,female,male,science,humanities,35,congruent,congruent
91,1636858962502,14/11/2021 03:02:42,1636858962354,11,14/11/2021 14:02:42,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,41,2,Screen 2,fixation,fixation,699.8130000000237,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Michelle,left,or,or,female,male,science,humanities,35,congruent,congruent
92,1636858963303,14/11/2021 03:02:43,1636858963143,11,14/11/2021 14:02:43,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,42,1,Screen 1,Zone9,response_keyboard,755.2000000476837,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Classics,left,or,or,female,male,science,humanities,55,congruent,congruent
93,1636858963985,14/11/2021 03:02:43,1636858963837,11,14/11/2021 14:02:43,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,42,2,Screen 2,fixation,fixation,699.7880000000005,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Classics,left,or,or,female,male,science,humanities,55,congruent,congruent
94,1636858964570,14/11/2021 03:02:44,1636858964418,11,14/11/2021 14:02:44,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,43,1,Screen 1,Zone9,response_keyboard,559.2999999523163,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Julia,left,or,or,female,male,science,humanities,34,congruent,congruent
95,1636858965239,14/11/2021 03:02:45,1636858965104,11,14/11/2021 14:02:45,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,43,2,Screen 2,fixation,fixation,699.80799999999,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Julia,left,or,or,female,male,science,humanities,34,congruent,congruent
96,1636858965891,14/11/2021 03:02:45,1636858965739,11,14/11/2021 14:02:45,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,44,1,Screen 1,Zone9,response_keyboard,599.7999999523163,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Arts,left,or,or,female,male,science,humanities,56,congruent,congruent
97,1636858966579,14/11/2021 03:02:46,1636858966437,11,14/11/2021 14:02:46,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,44,2,Screen 2,fixation,fixation,700.0599999999977,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Arts,left,or,or,female,male,science,humanities,56,congruent,congruent
98,1636858967495,14/11/2021 03:02:47,1636858967342,11,14/11/2021 14:02:47,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,45,1,Screen 1,Zone9,response_keyboard,871.9000000953674,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,History,left,or,or,female,male,science,humanities,60,congruent,congruent
99,1636858968183,14/11/2021 03:02:48,1636858968037,11,14/11/2021 14:02:48,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,45,2,Screen 2,fixation,fixation,699.9659999999858,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,History,left,or,or,female,male,science,humanities,60,congruent,congruent
100,1636858968808,14/11/2021 03:02:48,1636858968663,11,14/11/2021 14:02:48,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,46,1,Screen 1,Zone9,response_keyboard,593.8999998569489,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Music,left,or,or,female,male,science,humanities,59,congruent,congruent
101,1636858969489,14/11/2021 03:02:49,1636858969353,11,14/11/2021 14:02:49,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,46,2,Screen 2,fixation,fixation,700.0570000000007,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Music,left,or,or,female,male,science,humanities,59,congruent,congruent
102,1636858970276,14/11/2021 03:02:50,1636858970124,11,14/11/2021 14:02:50,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,47,1,Screen 1,Zone9,response_keyboard,722.9000000953674,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Math,right,or,or,female,male,science,humanities,49,congruent,congruent
103,1636858970964,14/11/2021 03:02:50,1636858970820,11,14/11/2021 14:02:50,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,47,2,Screen 2,fixation,fixation,700.06700000001,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Math,right,or,or,female,male,science,humanities,49,congruent,congruent
104,1636858971995,14/11/2021 03:02:51,1636858971840,11,14/11/2021 14:02:51,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,48,1,Screen 1,Zone9,response_keyboard,990.2000000476837,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Geology,right,or,or,female,male,science,humanities,50,congruent,congruent
105,1636858972683,14/11/2021 03:02:52,1636858972537,11,14/11/2021 14:02:52,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,48,2,Screen 2,fixation,fixation,699.8189999999886,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Geology,right,or,or,female,male,science,humanities,50,congruent,congruent
106,1636858977356,14/11/2021 03:02:57,1636858977222,11,14/11/2021 14:02:57,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,1,1,Screen 1,Zone9,continue_keyboard,4660.599999904633,,,0,1,0,,,,Spreadsheet1,,prepare2,,,,,,,,,,,,,,,62,,
107,1636858983521,14/11/2021 03:03:03,1636858983375,11,14/11/2021 14:03:03,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,4,1,Screen 1,Zone9,continue_keyboard,6121.199999809265,,,0,1,0,,,,Spreadsheet1,2,prepare1,,,,,,,,,,,,,humanities,science,63,practice_incongruent,practice_incongruent
108,1636858984326,14/11/2021 03:03:04,1636858984189,11,14/11/2021 14:03:04,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,49,1,Screen 1,Zone9,response_keyboard,796.2000000476837,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Chemistry,left,,,,,humanities,science,66,practice_incongruent,practice_incongruent
109,1636858985024,14/11/2021 03:03:05,1636858984885,11,14/11/2021 14:03:04,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,49,2,Screen 2,fixation,fixation,699.8859999999986,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Chemistry,left,,,,,humanities,science,66,practice_incongruent,practice_incongruent
110,1636858985696,14/11/2021 03:03:05,1636858985548,11,14/11/2021 14:03:05,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,50,1,Screen 1,Zone9,response_keyboard,620.7999999523163,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Math,left,,,,,humanities,science,67,practice_incongruent,practice_incongruent
111,1636858986383,14/11/2021 03:03:06,1636858986234,11,14/11/2021 14:03:06,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,50,2,Screen 2,fixation,fixation,699.9130000000005,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Math,left,,,,,humanities,science,67,practice_incongruent,practice_incongruent
112,1636858987384,14/11/2021 03:03:07,1636858987243,11,14/11/2021 14:03:07,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,51,1,Screen 1,Zone9,response_keyboard,977.9000000953674,right,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Philosophy,right,,,,,humanities,science,72,practice_incongruent,practice_incongruent
113,1636858988086,14/11/2021 03:03:08,1636858987933,11,14/11/2021 14:03:07,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,51,2,Screen 2,fixation,fixation,699.8669999999984,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Philosophy,right,,,,,humanities,science,72,practice_incongruent,practice_incongruent
114,1636858988933,14/11/2021 03:03:08,1636858988784,11,14/11/2021 14:03:08,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,52,1,Screen 1,Zone9,response_keyboard,827.6000001430511,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Geology,left,,,,,humanities,science,68,practice_incongruent,practice_incongruent
115,1636858989620,14/11/2021 03:03:09,1636858989483,11,14/11/2021 14:03:09,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,52,2,Screen 2,fixation,fixation,699.9040000000095,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Geology,left,,,,,humanities,science,68,practice_incongruent,practice_incongruent
116,1636858990225,14/11/2021 03:03:10,1636858990078,11,14/11/2021 14:03:10,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,53,1,Screen 1,Zone9,response_keyboard,580.9000000953674,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Astronomy,left,,,,,humanities,science,69,practice_incongruent,practice_incongruent
117,1636858990905,14/11/2021 03:03:10,1636858990766,11,14/11/2021 14:03:10,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,53,2,Screen 2,fixation,fixation,699.9070000000065,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Astronomy,left,,,,,humanities,science,69,practice_incongruent,practice_incongruent
118,1636858991475,14/11/2021 03:03:11,1636858991330,11,14/11/2021 14:03:11,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,54,1,Screen 1,Zone9,response_keyboard,545.7000000476837,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Physics,left,,,,,humanities,science,65,practice_incongruent,practice_incongruent
119,1636858992156,14/11/2021 03:03:12,1636858992016,11,14/11/2021 14:03:12,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,54,2,Screen 2,fixation,fixation,699.8850000000093,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Physics,left,,,,,humanities,science,65,practice_incongruent,practice_incongruent
120,1636858992769,14/11/2021 03:03:12,1636858992630,11,14/11/2021 14:03:12,68854,2,task-3fjs,,17138265,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,IAT_sex_topics,3,personality,,Spreadsheet1,55,1,Screen 1,Zone9,response_keyboard,596.2000000476837,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Engineering,left,,,,,humanities,science,70,practice_incongruent,practice_incongruent
