Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-7bvc,Randomise questionnaire elements?,age,english,english-text,english-quantised,nationality,nationality-text,nationality-quantised,sex,sex-text,sex-quantised,ethnic,ethnic-text,ethnic-quantised,income,income-text,income-quantised,class,class-text,class-quantised,edu,edu-text,edu-quantised,employ,employ-text,employ-quantised,END QUESTIONNAIRE
1,1626521783265,17/07/2021 11:36:23,1626521784334,1,17/07/2021 12:36:24,57003,8,questionnaire-4c1e,,14407627,5a1db7307ecfc50001be28f7,4286417,,complete,,60f2bec4964d23aa105e70dc,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,2732x1314,,,,Exp 2_group and demographics,4,booked,No,34,Yes,,1,English,,69,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£85 001 - £99 999,,9,Working,,1,Postgraduate degree/ Equivalent,,5,Full-time,,1,35918
1,1626431205935,16/07/2021 10:26:45,1626431205730,1,16/07/2021 11:26:45,57003,8,questionnaire-4c1e,,14376319,5ccb5998497962001677b39b,4279973,,complete,,60f15e68dda41bb8c7c8518e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x821,,,,Exp 2_group and demographics,4,booked,No,31,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£55 001 - £65 000,,6,Middle,,3,Postgraduate degree/ Equivalent,,5,Part-time,,2,28300
1,1626524131834,17/07/2021 12:15:31,1626524131691,1,17/07/2021 13:15:31,57003,8,questionnaire-4c1e,,14408773,6082a723574983e8821db5a7,4286586,,complete,,60f2c7e24ecf3f967ed29fd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x705,,,,Exp 2_group and demographics,4,booked,No,55,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,> £100 000,,10,Middle,,3,Postgraduate degree/ Equivalent,,5,Unemployed,,5,71935
1,1626523510181,17/07/2021 12:05:10,1626523510087,1,17/07/2021 13:05:10,57003,8,questionnaire-4c1e,,14408480,5cec2831539ced0017fbc5f4,4286560,,complete,,60f2c60cec214160268d1a30,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1366x768,1708x781,,,,Exp 2_group and demographics,4,booked,No,50,Yes,,1,British,,26,Male,,2,English/Welsh/Scottish/Northern Irish/British,,1,£35 001 - £45 000,,4,Upper-middle,,4,Degree/ Equivalent,,4,Self-employed,,3,46049
1,1626522940480,17/07/2021 11:55:40,1626522941150,1,17/07/2021 12:55:41,57003,8,questionnaire-4c1e,,14408206,60de49a3ff4234f1eff61852,4286525,,complete,,60f2c3f4d853a54658bad0eb,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x609,,,,Exp 2_group and demographics,4,booked,No,55,Yes,,1,English,,69,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£85 001 - £99 999,,9,Lower-middle,,2,Postgraduate degree/ Equivalent,,5,Full-time,,1,135781
1,1626521642552,17/07/2021 11:34:02,1626521638847,1,17/07/2021 12:33:58,57003,8,questionnaire-4c1e,,14407537,5cb749fda6fe0700189768a5,4286413,,complete,,60f2bea03a1650f6f44a849b,computer,Desktop or Laptop,Windows 7,Chrome 91.0.4472.124,1920x1080,1745x852,,,,Exp 2_group and demographics,4,booked,No,59,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£25 001 – £35 000,,3,Working,,1,A-Levels/ Equivalent,,2,Part-time,,2,48007
1,1626521531327,17/07/2021 11:32:11,1626521531129,1,17/07/2021 12:32:11,57003,8,questionnaire-4c1e,,14407497,5ee09bad431cdf3ddcee6c01,4286294,,complete,,60f2bb4b333d054b7cfbfc17,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x821,,,,Exp 2_group and demographics,4,booked,No,18,Yes,,1,British,,26,Female,,1,Mixed/multiple ethnic groups,,3,£45 001 - £55 000,,5,Middle,,3,Postgraduate degree/ Equivalent,,5,Full-time,,1,31258
1,1626520290037,17/07/2021 11:11:30,1626520289143,1,17/07/2021 12:11:29,57003,8,questionnaire-4c1e,,14406921,5ed38829fff60d32fb95a117,4286264,,complete,,60f2ba5199862512e28a6471,tablet,Amazon KFTRWI,Android 9,Chrome 91.0.4472.120,1280x800,1280x632,,,,Exp 2_group and demographics,4,booked,No,33,No,,2,Indian,,97,Male,,2,Asian/ Asian British,,4,£85 001 - £99 999,,9,Middle,,3,Postgraduate degree/ Equivalent,,5,Full-time,,1,27370
1,1626520442264,17/07/2021 11:14:02,1626520441924,1,17/07/2021 12:14:01,57003,8,questionnaire-4c1e,,14406984,5e4a9e0ade1012000aa3de0e,4286260,,complete,,60f2b9f4fc8adcb17336629e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.124,1680x1050,1645x918,,,,Exp 2_group and demographics,4,booked,No,34,Yes,,1,British,,26,Male,,2,Black/African/Caribbean/Black British,,5,£45 001 - £55 000,,5,Middle,,3,Degree/ Equivalent,,4,Full-time,,1,89379
1,1626520391924,17/07/2021 11:13:11,1626520391499,1,17/07/2021 12:13:11,57003,8,questionnaire-4c1e,,14406963,5eb16c6f841d81260873709a,4286249,,complete,,60f2b9a47331c0a442d6653b,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,,,Exp 2_group and demographics,4,booked,No,19,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£15 001 - £25 000,,2,Lower-middle,,2,Degree/ Equivalent,,4,Student,,4,105486
1,1626519896781,17/07/2021 11:04:56,1626519897909,1,17/07/2021 12:04:57,57003,8,questionnaire-4c1e,,14406758,5ee6680919f9892bcebdedb0,4286205,,complete,,60f2c37b15e61d220c945d5a,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x609,,,,Exp 2_group and demographics,4,booked,No,22,Yes,,1,English,,69,Male,,2,English/Welsh/Scottish/Northern Irish/British,,1,<£15 000,,1,Working,,1,No qualifications,,6,Unemployed,,5,37851
1,1626518430450,17/07/2021 10:40:30,1626518430344,1,17/07/2021 11:40:30,57003,8,questionnaire-4c1e,,14405952,607c077fd0ba289e89462f8b,4286056,,complete,,60f2b28f038d1b2933ff6bca,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.164,1440x900,1440x821,,,,Exp 2_group and demographics,4,booked,No,20,Yes,,1,Canadian,,35,Female,,1,Other White Background,,2,£25 001 – £35 000,,3,Working,,1,GCSE's/ Equivalent,,1,Full-time,,1,48088
1,1626516103304,17/07/2021 10:01:43,1626516104347,1,17/07/2021 11:01:44,57003,8,questionnaire-4c1e,,14405098,5ac3b688fa3b4e0001735a24,4285821,,complete,,60f2a8f295b02b789adfde61,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x721,,,,Exp 2_group and demographics,4,booked,No,26,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£85 001 - £99 999,,9,Middle,,3,Degree/ Equivalent,,4,Full-time,,1,88135
1,1626442889160,16/07/2021 13:41:29,1626442889034,1,16/07/2021 14:41:29,57003,8,questionnaire-4c1e,,14384931,6055d4b8d9434b260ed7d1e3,4281519,,complete,,60f18b115c138f1835845115,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.1,768x1024,1024x642,,,,Exp 2_group and demographics,4,booked,No,59,Yes,,1,British,,26,Male,,2,English/Welsh/Scottish/Northern Irish/British,,1,£25 001 – £35 000,,3,Middle,,3,Degree/ Equivalent,,4,Part-time,,2,60146
1,1626437302315,16/07/2021 12:08:22,1626437302001,1,16/07/2021 13:08:22,57003,8,questionnaire-4c1e,,14379895,60c347136d0a78b90bbd88e6,4280688,,complete,,60f175ddc1c9a0999057d2e5,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1366x657,,,,Exp 2_group and demographics,4,booked,No,18,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£15 001 - £25 000,,2,Working,,1,Postgraduate degree/ Equivalent,,5,Self-employed,,3,42913
1,1626439557020,16/07/2021 12:45:57,1626439556939,1,16/07/2021 13:45:56,57003,8,questionnaire-4c1e,,14381568,60daf9da79533692f823fa52,4280638,,complete,,60f174b6ae54c1133bbcf7c9,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1792x1120,1792x1040,,,,Exp 2_group and demographics,4,booked,No,18,Yes,,1,Welsh,,222,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£25 001 – £35 000,,3,Upper,,5,Postgraduate degree/ Equivalent,,5,Student,,4,34985
1,1626436532596,16/07/2021 11:55:32,1626436531900,1,16/07/2021 12:55:31,57003,8,questionnaire-4c1e,,14379346,600cb67fd53db7000a912f23,4280576,,complete,,60f172ecb995fbe6b05b5c95,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,1536x864,1396x694,,,,Exp 2_group and demographics,4,booked,No,21,Yes,,1,British,,26,Male,,2,Other White Background,,2,£45 001 - £55 000,,5,Lower-middle,,2,Degree/ Equivalent,,4,Student,,4,38875
1,1626436489716,16/07/2021 11:54:49,1626436489557,1,16/07/2021 12:54:49,57003,8,questionnaire-4c1e,,14379314,5ea9890b7baf810a13bcdb56,4280575,,complete,,60f172e86e29c0393bb9f4e8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.77,1440x900,1440x821,,,,Exp 2_group and demographics,4,booked,No,18,Yes,,1,British,,26,Female,,1,Mixed/multiple ethnic groups,,3,£35 001 - £45 000,,4,Lower-middle,,2,A-Levels/ Equivalent,,2,Part-time,,2,31742
1,1626436644480,16/07/2021 11:57:24,1626436645584,1,16/07/2021 12:57:25,57003,8,questionnaire-4c1e,,14379420,60b8d9d91e94c41421dc683e,4280568,,complete,,60f17277b995fbe6b05b5c8f,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x696,,,,Exp 2_group and demographics,4,booked,No,24,Yes,,1,Pakistani,,156,Female,,1,Asian/ Asian British,,4,£25 001 – £35 000,,3,Middle,,3,Higher education,,3,Unemployed,,5,35454
