Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
11,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_3-quantised,4
12,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_3,3
13,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_3-quantised,3
14,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_4,4
15,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_4-quantised,4
16,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_4,2
17,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_4-quantised,2
18,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_5,4
19,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_5-quantised,4
20,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_6,4
21,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_6-quantised,4
22,1.6255E+12,05/07/2021 14:54,1.6255E+12,1,05/07/2021 15:54,57004,9,questionnaire-dzij,,14040932,60e1d4545c2217c73f35df4b,4193722,,complete,,60e31bc8cec3d6aae8e119e6,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.114,1920x1080,1903x937,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_5,4
