Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
130,1645976662563,27/02/2022 15:44:22,1645976662538,0,27/02/2022 15:44:22,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,60,2,Screen 2,fixation,fixation,699.9719999999797,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,History,right,,,,,humanities,science,78,practice_incongruent,practice_incongruent
131,1645976663625,27/02/2022 15:44:23,1645976663589,0,27/02/2022 15:44:23,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,61,1,Screen 1,Zone9,response_keyboard,1030.7000000000698,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Chemistry,left,,,,,humanities,science,66,practice_incongruent,practice_incongruent
132,1645976664313,27/02/2022 15:44:24,1645976664287,0,27/02/2022 15:44:24,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,61,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Chemistry,left,,,,,humanities,science,66,practice_incongruent,practice_incongruent
133,1645976665327,27/02/2022 15:44:25,1645976665291,0,27/02/2022 15:44:25,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,62,1,Screen 1,Zone9,response_keyboard,985.4000000000233,left,1,1,0,0,,,,Spreadsheet1,2,trials,4,,,,,,Astronomy,left,,,,,humanities,science,69,practice_incongruent,practice_incongruent
134,1645976666012,27/02/2022 15:44:26,1645976665989,0,27/02/2022 15:44:25,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,62,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,4,,,,,,Astronomy,left,,,,,humanities,science,69,practice_incongruent,practice_incongruent
135,1645976669625,27/02/2022 15:44:29,1645976669588,0,27/02/2022 15:44:29,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,5,1,Screen 1,Zone9,continue_keyboard,3579.600000000093,,,0,1,0,,,,Spreadsheet1,2,prepare1,,,,,,,,,or,or,female,male,humanities,science,80,incongruent,incongruent
136,1645976673007,27/02/2022 15:44:33,1645976672968,0,27/02/2022 15:44:32,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,63,1,Screen 1,Zone9,response_keyboard,3359.29999999993,left,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Emily,left,or,or,female,male,humanities,science,84,incongruent,incongruent
137,1645976673692,27/02/2022 15:44:33,1645976673655,0,27/02/2022 15:44:33,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,63,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Emily,left,or,or,female,male,humanities,science,84,incongruent,incongruent
138,1645976678386,27/02/2022 15:44:38,1645976678339,0,27/02/2022 15:44:38,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,64,1,Screen 1,Zone9,response_keyboard,4662.5,right,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Music,right,or,or,female,male,humanities,science,106,incongruent,incongruent
139,1645976679070,27/02/2022 15:44:39,1645976679038,0,27/02/2022 15:44:39,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,64,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Music,right,or,or,female,male,humanities,science,106,incongruent,incongruent
140,1645976681276,27/02/2022 15:44:41,1645976681242,0,27/02/2022 15:44:41,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,65,1,Screen 1,Zone9,response_keyboard,2171.8000000000466,left,1,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Paul,right,or,or,female,male,humanities,science,90,incongruent,incongruent
141,1645976682032,27/02/2022 15:44:42,1645976682001,0,27/02/2022 15:44:42,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,65,1,Screen 1,Zone9,response_keyboard,2941.9000000000233,right,2,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Paul,right,or,or,female,male,humanities,science,90,incongruent,incongruent
142,1645976682720,27/02/2022 15:44:42,1645976682688,0,27/02/2022 15:44:42,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,65,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Paul,right,or,or,female,male,humanities,science,90,incongruent,incongruent
143,1645976685189,27/02/2022 15:44:45,1645976685157,0,27/02/2022 15:44:45,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,66,1,Screen 1,Zone9,response_keyboard,2447.9000000000233,left,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Biology,left,or,or,female,male,humanities,science,93,incongruent,incongruent
144,1645976685889,27/02/2022 15:44:45,1645976685853,0,27/02/2022 15:44:45,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,66,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Biology,left,or,or,female,male,humanities,science,93,incongruent,incongruent
145,1645976686827,27/02/2022 15:44:46,1645976686791,0,27/02/2022 15:44:46,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,67,1,Screen 1,Zone9,response_keyboard,917.5999999999767,left,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Chemistry,left,or,or,female,male,humanities,science,95,incongruent,incongruent
146,1645976687514,27/02/2022 15:44:47,1645976687488,0,27/02/2022 15:44:47,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,67,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Chemistry,left,or,or,female,male,humanities,science,95,incongruent,incongruent
147,1645976689928,27/02/2022 15:44:49,1645976689896,0,27/02/2022 15:44:49,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,68,1,Screen 1,Zone9,response_keyboard,2377.29999999993,left,1,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Ben,right,or,or,female,male,humanities,science,87,incongruent,incongruent
148,1645976690866,27/02/2022 15:44:50,1645976690842,0,27/02/2022 15:44:50,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,68,1,Screen 1,Zone9,response_keyboard,3333.5999999999767,right,2,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Ben,right,or,or,female,male,humanities,science,87,incongruent,incongruent
149,1645976691577,27/02/2022 15:44:51,1645976691537,0,27/02/2022 15:44:51,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,68,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Ben,right,or,or,female,male,humanities,science,87,incongruent,incongruent
150,1645976693586,27/02/2022 15:44:53,1645976693555,0,27/02/2022 15:44:53,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,69,1,Screen 1,Zone9,response_keyboard,1994.2999999999302,right,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Literature,right,or,or,female,male,humanities,science,104,incongruent,incongruent
151,1645976694284,27/02/2022 15:44:54,1645976694254,0,27/02/2022 15:44:54,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,69,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Literature,right,or,or,female,male,humanities,science,104,incongruent,incongruent
152,1645976695198,27/02/2022 15:44:55,1645976695165,0,27/02/2022 15:44:55,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,70,1,Screen 1,Zone9,response_keyboard,889.4000000000233,right,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Arts,right,or,or,female,male,humanities,science,103,incongruent,incongruent
153,1645976695885,27/02/2022 15:44:55,1645976695854,0,27/02/2022 15:44:55,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,70,2,Screen 2,fixation,fixation,699.9719999999797,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Arts,right,or,or,female,male,humanities,science,103,incongruent,incongruent
154,1645976696495,27/02/2022 15:44:56,1645976696457,0,27/02/2022 15:44:56,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,71,1,Screen 1,Zone9,response_keyboard,581.0999999999767,right,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Classics,right,or,or,female,male,humanities,science,102,incongruent,incongruent
155,1645976697169,27/02/2022 15:44:57,1645976697137,0,27/02/2022 15:44:57,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,71,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Classics,right,or,or,female,male,humanities,science,102,incongruent,incongruent
156,1645976697964,27/02/2022 15:44:57,1645976697935,0,27/02/2022 15:44:57,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,72,1,Screen 1,Zone9,response_keyboard,776.1000000000931,left,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Astronomy,left,or,or,female,male,humanities,science,98,incongruent,incongruent
157,1645976698653,27/02/2022 15:44:58,1645976698621,0,27/02/2022 15:44:58,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,72,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Astronomy,left,or,or,female,male,humanities,science,98,incongruent,incongruent
158,1645976699573,27/02/2022 15:44:59,1645976699544,0,27/02/2022 15:44:59,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,73,1,Screen 1,Zone9,response_keyboard,902.1999999999534,right,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Jeffrey,right,or,or,female,male,humanities,science,91,incongruent,incongruent
159,1645976700269,27/02/2022 15:45:00,1645976700238,0,27/02/2022 15:45:00,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,73,2,Screen 2,fixation,fixation,699.9719999999797,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Jeffrey,right,or,or,female,male,humanities,science,91,incongruent,incongruent
160,1645976701363,27/02/2022 15:45:01,1645976701328,0,27/02/2022 15:45:01,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,74,1,Screen 1,Zone9,response_keyboard,1069.1000000000931,left,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Julia,left,or,or,female,male,humanities,science,81,incongruent,incongruent
161,1645976702062,27/02/2022 15:45:02,1645976702021,0,27/02/2022 15:45:02,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,74,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Julia,left,or,or,female,male,humanities,science,81,incongruent,incongruent
162,1645976704745,27/02/2022 15:45:04,1645976704708,0,27/02/2022 15:45:04,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,75,1,Screen 1,Zone9,response_keyboard,2666.1999999999534,left,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Geology,left,or,or,female,male,humanities,science,97,incongruent,incongruent
163,1645976705433,27/02/2022 15:45:05,1645976705403,0,27/02/2022 15:45:05,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,75,2,Screen 2,fixation,fixation,699.9720000000088,,,0,1,0,,,,Spreadsheet1,2,trials,5,,,,,,Geology,left,or,or,female,male,humanities,science,97,incongruent,incongruent
164,1645976706292,27/02/2022 15:45:06,1645976706259,0,27/02/2022 15:45:06,39476,1,task-3fjs,,19875367,0l8akva9,5891983,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 98.0.4758.80,1440x900,1311x712,,,,IAT_sex_topics,3,Spreadsheet1,76,1,Screen 1,Zone9,response_keyboard,839.1000000000931,right,1,1,0,0,,,,Spreadsheet1,2,trials,5,,,,,,Daniel,right,or,or,female,male,humanities,science,89,incongruent,incongruent
